265,XWA,,,
0,X-Wing,1,,28
24,Y-Wing,1,,28
48,A-Wing,1,,28
72,B-Wing,1,,28
96,TIE Fighter,1,,28
120,TIE Interceptor,1,,28
144,TIE Bomber,1,,28
168,TIE Advanced,1,,28
282,TIE Defender,1,,28
216,Authority IRD,1,,28
240,Toscan Fighter,1,,28
264,Missile Boat,1,,28
288,T-Wing,1,,28
312,Z-95 Headhunter,1,,28
336,R-41 Starchaser,1,,28
360,Assault Gunboat,1,,28
384,Skipray Blastboat,1,,28
408,TIE Exp. M1 (Bizarro),1,,28
432,TIE Exp. M2 (BigGun),1,,28
456,TIE Exp. M3 (Warheads),1,,28
480,TIE Exp. M4 (Bomb),1,,28
504,TIE Exp. M5 (Booster),1,,28
528,Cloakshape Fighter,1,,28
552,Razor Fighter,1,,28
576,Planetary Fighter,1,,28
600,Supa Fighter,1,,28
624,Pinook Fighter,1,,28
648,*Booster Pack,1,,28
672,Preybird Fighter,1,,28
696,*StarViper,1,,28
720,Firespray (Slave I),1,,28
744,Pursuer (Slave II),1,,28
768,*Reserved Fighter #1,1,,28
792,*Reserved Fighter #2,1,,28
816,*Reserved Fighter #3,1,,28
840,*Reserved Fighter #4,1,,28
864,*Reserved Fighter #5,1,,28
888,*Reserved Fighter #6,1,,28
912,*Reserved Fighter #7,1,,28
936,*Reserved Fighter #8,1,,28
960,*Reserved Fighter #9,1,,28
984,*Reserved Fighter #10,1,,28
1008,Utility Tug,1,,28
1032,Combat Utility Vehicle,1,,28
1056,Heavy Lifter,1,,28
1080,Mole Miner,1,,28
1104,Escape Pod,1,,28
1128,Escape Pod 2,1,,28
1152,*Reserved Utility,1,,28
1176,Shuttle,1,,28
1200,Escort Shuttle,1,,28
1224,Stormtrooper Transport,1,,28
1248,Assault Transport,1,,28
1272,Escort Transport,1,,28
1296,System Patrol Craft,1,,28
1320,Scout Craft,1,,28
1344,Muurian Transport,1,,28
1368,YT-1300 Corellian Transport,1,,28
1392,Millennium Falcon (YT-1300),1,,28
1416,YT-2400 (Outrider),1,,28
1440,Imperial Landing Craft,1,,28
1464,Assault Shuttle,1,,28
1488,Luxury Yacht LT3000,1,,28
1512,Ferryboat Liner,1,,28
1536,YT-2000 (Otana),1,,28
1560,*Reserved Shuttle #1,1,,28
1584,*Reserved Shuttle #2,1,,28
1608,*Reserved Shuttle #3,1,,28
1632,*Reserved Shuttle #4,1,,28
1656,*Reserved Shuttle #5,1,,28
1680,Container A,1,,28
1704,Container B,1,,28
1728,Container C,1,,28
1752,Container D,1,,28
1776,Container E,1,,28
1800,Container F,1,,28
1824,Container G,1,,28
1848,Container H,1,,28
1872,Container I,1,,28
1896,Cargo Canister,1,,28
2820,Pressure Tank,1,,28
2844,Container J,1,,28
2868,Container K,1,,28
2892,Container L,1,,28
2016,Container Hangar,1,,28
2040,*Reserved Container #1,1,,28
2064,*Reserved Container #2,1,,28
2088,*Reserved Container #3,1,,28
2112,*Reserved Container #4,1,,28
2136,*Reserved Container #5,1,,28
2160,Bulk Freighter,1,,28
2184,Cargo Ferry,1,,28
2208,Modular Conveyor,1,,28
2232,Container Transport,1,,28
2256,Medium Transport,1,,28
2280,Star Galleon,1,,28
2304,Modified Action Transport,1,,28
2328,Mobquet Transport,1,,28
2352,Xiytiar Transport,1,,28
2376,Freighter Type C,1,,28
2400,Freighter Type H,1,,28
2424,Freighter Type K,1,,28
2448,*Freighter Type L,1,,28
2472,*Freighter Type P,1,,28
2496,Cargo Freighter,1,,28
2520,*Cargo Freighter 2,1,,28
2544,*Cargo Freighter 3,1,,28
2568,*Cargo Freighter 4,1,,28
2592,*Cargo Freighter 5,1,,28
2616,Cargo Tanker,1,,28
2640,*Cargo Tanker 2,1,,28
2664,*Cargo Tanker 3,1,,28
2688,*Cargo Tanker 4,1,,28
2712,*Cargo Tanker 5,1,,28
2736,Suprosa,1,,28
2760,*Reserved Freighter #1,1,,28
2784,*Reserved Freighter #2,1,,28
2808,*Reserved Freighter #3,1,,28
2832,*Reserved Freighter #4,1,,28
2856,*Reserved Freighter #5,1,,28
2880,*Reserved Freighter #6,1,,28
2904,*Reserved Freighter #7,1,,28
2928,*Reserved Freighter #8,1,,28
2952,*Reserved Freighter #9,1,,28
2976,*Reserved Freighter #10,1,,28
3000,Corellian Corvette,1,,28
3024,Modified Corvette,1,,28
3048,Nebulon-B Frigate,1,,28
3072,Modified Frigate,1,,28
3096,Passenger Liner,1,,28
3120,Carrack Cruiser,1,,28
3144,Strike Cruiser,1,,28
3168,Escort Carrier,1,,28
3282,Dreadnaught,1,,28
3216,MC80a Calamari Cruiser,1,,28
3240,MC40a Light Calamari Cruiser,1,,28
3264,Interdictor Im-418,1,,28
3288,Victory Class Star Destroyer,1,,28
3312,Imperial Class Star Destroyer,1,,28
3336,Super Star Destroyer,1,,28
3360,*Modified Strike Cruiser,1,,28
3384,Lancer Frigate,1,,28
3408,Bulk Crusier,1,,28
3432,Assault Frigate,1,,28
3456,Corellian Gunship,1,,28
3480,Marauder Corvette,1,,28
3504,Imperial Research Ship,1,,28
3528,Winged Calamari Cruiser,1,,28
3552,Victory Class Star Destroyer II,1,,28
3576,Imperial Class Star Destroyer II,1,,28
3600,*Reserved Starship #1,1,,28
3624,*Reserved Starship #2,1,,28
3648,XQ1 Platform,1,,28
3672,XQ2 Platform,1,,28
3696,XQ3 Platform,1,,28
3720,XQ4 Platform,1,,28
3744,XQ5 Platform,1,,28
3768,XQ6 Platform,1,,28
3792,Asteroid Hangar,1,,28
3816,Deep Space Manufacturing Factory,1,,28
3840,Shipyard,1,,28
3864,Repair Yard,1,,28
3888,Golan One,1,,28
3912,Golan Two,1,,28
3936,Golan Three,1,,28
3960,Derilyn Platform,1,,28
3984,Sensor Array,1,,28
4008,Comm Relay,1,,28
4032,Space Colony 1,1,,28
4056,Space Colony 2,1,,28
4080,Space Colony 3,1,,28
4104,Casino (Dunari's Rest),1,,28
4128,Cargo Facility 1,1,,28
4152,Cargo Facility 2,1,,28
4176,Asteroid Mining Unit,1,,28
4200,Processing Plant,1,,28
4224,Rebel Platform,1,,28
4248,Imperial Research Center,1,,28
4272,Family Base,1,,28
4296,Family Repair Yard,1,,28
4320,Pirate Shipyard,1,,28
4344,Industrial Complex,1,,28
4368,*Pirate Junkyard Base,1,,28
4392,*Reserved Station #1,1,,28
4416,*Reserved Station #2,1,,28
4440,*Reserved Station #3,1,,28
4464,*Reserved Station #4,1,,28
4488,*Reserved Station #5,1,,28
4512,*Reserved Station #6,1,,28
4536,*Reserved Station #7,1,,28
4560,*Reserved Station #8,1,,28
4584,New Laser Battery #9,1,,28
4608,New Ion Battery,1,,28
4632,Asteroid Laser Battery,1,,28
4656,Asteroid Warhaead Launcher,1,,28
4680,Gun Emplacement,1,,28
4704,Large Gun Emplacement,1,,28
4728,Large Gun /Warhead Emplacement,1,,28
4752,*Homing Mine A,1,,28
4776,Homing Mine B,1,,28
4800,Proximity Mine A,1,,28
4824,Proximity Mine B,1,,28
4848,Rebel Pilot,1,,28
4872,Imperial Pilot,1,,28
4896,Civilian Pilot,1,,28
4920,Zero G Stormtrooper,1,,28
4944,Zero G Worker,1,,28
4968,MK-09 Droid,1,,28
4992,R2-D2 Droid,1,,28
5016,Comm Sat 1,1,,28
5040,Comm Sat 2,1,,28
5064,Comm Sat 3,1,,28
5088,Probe,1,,28
5112,Probe Capsule,1,,28
5136,Nav Buoy 1,1,,28
5160,Nav Buoy 2,1,,28
5184,Nav Buoy 3,1,,28
5208,Hyper Buoy,1,,28
5232,Accelerator Ring,1,,28
